Date,Time,Open,High,Low,Close,Volume
2020.10.06,14:00,12838.20000,12851.00000,12834.70000,12840.50000,951
2020.10.06,14:15,12840.70000,12878.30000,12839.30000,12874.10000,995
2020.10.06,14:30,12874.60000,12906.90000,12874.60000,12894.70000,1391
2020.10.06,14:45,12895.20000,12904.70000,12886.80000,12889.90000,998
2020.10.06,15:00,12890.40000,12903.90000,12873.40000,12902.30000,1080
2020.10.06,15:15,12902.80000,12934.00000,12901.10000,12925.70000,1219
2020.10.06,15:30,12925.20000,12943.80000,12924.10000,12932.10000,1439
2020.10.06,15:45,12933.10000,12946.00000,12930.00000,12944.80000,1068
2020.10.06,16:00,12945.30000,12958.70000,12935.90000,12944.00000,1239
2020.10.06,16:15,12944.20000,12966.50000,12942.00000,12944.00000,1303
2020.10.06,16:30,12942.00000,12947.30000,12917.10000,12922.50000,1964
2020.10.06,16:45,12923.00000,12925.00000,12909.40000,12913.90000,1630
2020.10.06,17:00,12914.40000,12935.30000,12913.10000,12934.30000,1372
2020.10.06,17:15,12934.30000,12948.60000,12926.90000,12933.50000,1438
2020.10.06,17:30,12933.00000,12939.90000,12899.20000,12909.10000,1694
2020.10.06,17:45,12909.40000,12926.10000,12903.40000,12906.70000,2141
2020.10.06,18:00,12906.20000,12922.20000,12903.80000,12906.10000,1820
2020.10.06,18:15,12906.40000,12919.30000,12897.50000,12913.70000,1785
2020.10.06,18:30,12913.00000,12915.90000,12898.60000,12910.60000,1409
2020.10.06,18:45,12910.90000,12911.60000,12885.10000,12891.40000,1412
2020.10.06,19:00,12892.10000,12909.10000,12891.40000,12906.60000,1034
2020.10.06,19:15,12906.90000,12909.10000,12901.60000,12904.60000,648
2020.10.06,19:30,12905.10000,12914.60000,12898.10000,12914.10000,627
2020.10.06,19:45,12914.40000,12934.20000,12913.40000,12928.40000,618
2020.10.06,20:00,12928.70000,12945.20000,12923.20000,12936.70000,706
2020.10.06,20:15,12936.90000,12942.20000,12932.20000,12932.70000,539
2020.10.06,20:30,12932.90000,12939.40000,12927.60000,12933.20000,631
2020.10.06,20:45,12934.70000,12936.20000,12924.90000,12932.90000,810
2020.10.06,21:00,12933.70000,12947.40000,12931.40000,12940.70000,645
2020.10.06,21:15,12940.40000,12953.40000,12938.20000,12949.70000,620
